Date,Rate
31-Jan-80,1.1069
29-Feb-80,1.0987
31-Mar-80,1.0831
30-Apr-80,1.1145
31-May-80,1.1426
30-Jun-80,1.1576
31-Jul-80,1.1525
31-Aug-80,1.1656
30-Sep-80,1.169
31-Oct-80,1.1726
30-Nov-80,1.1643
31-Dec-80,1.1807
31-Jan-81,1.1707
28-Feb-81,1.1566
31-Mar-81,1.1684
30-Apr-81,1.1505
31-May-81,1.1385
30-Jun-81,1.148
31-Jul-81,1.1356
31-Aug-81,1.1508
30-Sep-81,1.1414
31-Oct-81,1.135
30-Nov-81,1.1514
31-Dec-81,1.1279
31-Jan-82,1.0994
28-Feb-82,1.074
31-Mar-82,1.0503
30-Apr-82,1.0608
31-May-82,1.0482
30-Jun-82,1.0223
31-Jul-82,0.9958
31-Aug-82,0.9643
30-Sep-82,0.9493
31-Oct-82,0.9367
30-Nov-82,0.9548
31-Dec-82,0.9806
31-Jan-83,0.9718
28-Feb-83,0.9606
31-Mar-83,0.8629
30-Apr-83,0.868
31-May-83,0.882
30-Jun-83,0.8745
31-Jul-83,0.881
31-Aug-83,0.8785
30-Sep-83,0.8965
31-Oct-83,0.916
30-Nov-83,0.9128
31-Dec-83,0.902
31-Jan-84,0.9178
29-Feb-84,0.9429
31-Mar-84,0.935
30-Apr-84,0.9201
31-May-84,0.8992
30-Jun-84,0.8613
31-Jul-84,0.83
31-Aug-84,0.8488
30-Sep-84,0.833
31-Oct-84,0.8487
30-Nov-84,0.8596
31-Dec-84,0.8278
31-Jan-85,0.815
28-Feb-85,0.7138
31-Mar-85,0.7051
30-Apr-85,0.6523
31-May-85,0.658
30-Jun-85,0.6655
31-Jul-85,0.7271
31-Aug-85,0.7034
30-Sep-85,0.7077
31-Oct-85,0.7002
30-Nov-85,0.685
31-Dec-85,0.6809
31-Jan-86,0.7155
28-Feb-86,0.7012
31-Mar-86,0.7119
30-Apr-86,0.7391
31-May-86,0.7166
30-Jun-86,0.6772
31-Jul-86,0.598
31-Aug-86,0.6085
30-Sep-86,0.6274
31-Oct-86,0.642
30-Nov-86,0.6488
31-Dec-86,0.6648
