Financial Year,Rate
1990,0.7655666666666666
1991,0.7851
1992,0.7691583333333334
1993,0.698175
1994,0.6918916666666667
1995,0.7404666666666667
1996,0.7629166666666666
1997,0.7806416666666666
1998,0.6775166666666667
1999,0.6246916666666666
2000,0.6250416666666666
2001,0.5315583333333334
2002,0.5245166666666666
2003,0.5887416666666666
2004,0.7139583333333334
2005,0.754525
2006,0.7463000000000001
2007,0.7907416666666668
2008,0.9046833333333333
2009,0.7442083333333334
2010,0.8838583333333334
2011,0.9990166666666668
2012,1.03615
2013,1.023925
2014,0.9147916666666666
2015,0.8287833333333333
2016,0.7272249999999999
2017,0.7542083333333333
2018,0.7736416666666667
2019,0.7153416666666667
2020,0.6715083333333333
2021,0.7492416666666667
2022,0.7230583333333334
2023,0.6709833333333334
2024,0.65725
2025,0.6471083333333333
2026,0.6792250000000001
2027,0.703
