Financial Year,Gold prices AUD,Iron ore prices AUD
1990,505.7256063046981,
1991,475.9478622680763,
1992,457.6430947247532,
1993,492.7131449851398,
1994,547.291844821564,
1995,519.042045556856,
1996,510.9776078645549,
1997,465.5358305667347,
1998,451.6494059186736,
1999,457.5590624708189,
2000,450.1033264449037,
2001,506.21600012541734,
2002,550.6656922245877,
2003,567.1700944103951,
2004,545.3166034432447,
2005,559.7340490153849,
2006,705.7036937781945,
2007,807.3643941868919,
2008,909.6184668668595,
2009,1173.9544258440176,78.9429483231622
2010,1234.9264116609938,117.38306478225205
2011,1372.0992309103951,151.81595235314722
2012,1605.30167768502,133.02449774003122
2013,1567.0093024391435,116.38222200519245
2014,1416.3516283306767,121.43019813254385
2015,1476.360930681521,77.92547308303335
2016,1604.84490127998,64.17087788052758
2017,1667.200707143252,82.86834981492736
2018,1676.5944612600579,77.23213804840742
2019,1766.5218252350278,96.4574038047087
2020,2326.230749184051,122.48544942356139
2021,2468.7183707971394,187.6341634319145
2022,2534.2584162181474,164.46344808510148
2023,2728.830820437666,143.32199011401178
2024,3162.2923798656016,158.61544313427157
2025,4121.4119222695845,133.58573826295614
